time,open,high,low,close,Up Trend,Down Trend,EMA,EMA,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily S1,Daily S2,Daily S3,Volume
2026-01-06T14:00:00+05:30,26151.95,26172.3,26151.9,26152.9,,26198.68429466459,26165.129320689997,26159.551761205075,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,5557820
2026-01-06T14:05:00+05:30,26153.15,26162.65,26136.05,26139.15,,26198.68429466459,26162.6550996719,26155.471408964062,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,5975571
2026-01-06T14:10:00+05:30,26138.15,26140.75,26125.8,26133.15,,26182.612603504258,26159.84509017934,26151.00712717125,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,4199623
2026-01-06T14:15:00+05:30,26133.25,26139.5,26131.2,26134.75,,26182.243843153832,26157.455081590833,26147.755701737,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,5486699
2026-01-06T14:20:00+05:30,26134.9,26142.4,26125.3,26141.1,,26181.18445883845,26155.897454772658,26146.424561389602,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,6223626
2026-01-06T14:25:00+05:30,26140.3,26148.05,26137.25,26148.05,,26181.18445883845,26155.15007812764,26146.74964911168,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,4939765
2026-01-06T14:30:00+05:30,26147.75,26150.95,26139.6,26144.5,,26181.18445883845,26154.135784972626,26146.299719289345,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,3763888
2026-01-06T14:35:00+05:30,26144.6,26149.35,26124.75,26143.25,,26181.18445883845,26153.099043546663,26145.689775431478,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,5767196
2026-01-06T14:40:00+05:30,26142.45,26153.85,26142.45,26149.7,,26181.18445883845,26152.77532511365,26146.49182034518,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,4595966
2026-01-06T14:45:00+05:30,26149.8,26165.5,26147.65,26165.15,,26181.18445883845,26153.953865579017,26150.223456276144,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,6149984
2026-01-06T14:50:00+05:30,26164.15,26169.8,26155.5,26156.75,,26181.18445883845,26154.2201640953,26151.528765020914,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,3874670
2026-01-06T14:55:00+05:30,26157.15,26164.55,26155.15,26164,,26181.18445883845,26155.151577038603,26154.023012016733,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,4225815
2026-01-06T15:00:00+05:30,26165.05,26182.85,26165.05,26178.5,,26181.18445883845,26157.37523636826,26158.918409613387,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,8320246
2026-01-06T15:05:00+05:30,26177.8,26187.7,26169.8,26178.75,,26181.18445883845,26159.41092814271,26162.88472769071,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,8738392
2026-01-06T15:10:00+05:30,26177.75,26183.6,26166.45,26175.95,,26181.18445883845,26160.986077843405,26165.497782152568,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,7992249
2026-01-06T15:15:00+05:30,26175,26182.95,26172.1,26181.25,26132.06231022536,,26162.915975191652,26168.648225722056,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,10636634
2026-01-06T15:20:00+05:30,26181.35,26186.1,26179.5,26183.2,26139.687724154286,,26164.84778707816,26171.558580577646,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,12310652
2026-01-06T15:25:00+05:30,26184.9,26186.5,26170.85,26174.65,26139.687724154286,,26165.781331165956,26172.17686446212,26277.850000000002,26264.075000000004,26291.625,26345.650000000005,26441.000000000004,26182.500000000004,26114.7,26019.350000000002,9266488
