time,open,high,low,close,Volume
2026-02-17T09:15:00+05:30,25648.35,25664.85,25591,25612.45,12388525
2026-02-17T09:20:00+05:30,25610.45,25610.45,25574.25,25579.7,7219908
2026-02-17T09:25:00+05:30,25578.85,25598.4,25570.3,25592.8,6046561
2026-02-17T09:30:00+05:30,25593.1,25616.5,25578.7,25612.4,9132681
2026-02-17T09:35:00+05:30,25613.85,25616.65,25584.05,25616.6,6056787
2026-02-17T09:40:00+05:30,25615.05,25644.75,25601.4,25642.95,5588975
2026-02-17T09:45:00+05:30,25642.2,25645.65,25632.4,25641.55,5587425
2026-02-17T09:50:00+05:30,25641.2,25664.4,25633.1,25662.3,5067638
2026-02-17T09:55:00+05:30,25662,25675.85,25652.9,25663.15,5446940
2026-02-17T10:00:00+05:30,25662.25,25667.4,25651.3,25662.25,6844539
2026-02-17T10:05:00+05:30,25662,25671.85,25656.95,25665.45,6760074
2026-02-17T10:10:00+05:30,25665.8,25682,25659.4,25679.25,4563491
2026-02-17T10:15:00+05:30,25679.4,25692.4,25666.15,25690.7,4141295
2026-02-17T10:20:00+05:30,25690.45,25698.15,25687.55,25694.65,5420524
2026-02-17T10:25:00+05:30,25694.6,25728.5,25692.05,25724.4,5827920
2026-02-17T10:30:00+05:30,25724.1,25730.35,25706.15,25710.5,4747353
2026-02-17T10:35:00+05:30,25709.95,25710,25691.95,25692.8,3705919
2026-02-17T10:40:00+05:30,25692.45,25697.35,25657.2,25661.3,4593870
2026-02-17T10:45:00+05:30,25661.6,25668.05,25642.75,25656.65,3724898
2026-02-17T10:50:00+05:30,25657.1,25658.15,25649.2,25656.6,4451433
2026-02-17T10:55:00+05:30,25656.55,25669.15,25656.25,25668.1,2943173
2026-02-17T11:00:00+05:30,25667.75,25672.1,25658.2,25666.55,4051656
2026-02-17T11:05:00+05:30,25666.8,25674.95,25653.65,25670.6,4390271
2026-02-17T11:10:00+05:30,25671.2,25674.95,25661.4,25673.1,2345952
2026-02-17T11:15:00+05:30,25673.95,25690.25,25669.5,25685.8,3059796
2026-02-17T11:20:00+05:30,25685.6,25690.9,25679.05,25688,2184575
2026-02-17T11:25:00+05:30,25689,25695.55,25685.4,25693.6,3072697
2026-02-17T11:30:00+05:30,25693.95,25723.85,25687.55,25721.45,5656828
2026-02-17T11:35:00+05:30,25721.2,25745.75,25716.75,25730.55,4587184
2026-02-17T11:40:00+05:30,25730.65,25732.25,25708.5,25722.35,4388874
2026-02-17T11:45:00+05:30,25722.75,25741.65,25722.6,25738.05,3216900
2026-02-17T11:50:00+05:30,25738,25741.8,25733.05,25741.6,2493546
2026-02-17T11:55:00+05:30,25741.4,25741.8,25725.6,25729.45,2299104
2026-02-17T12:00:00+05:30,25730,25737.25,25722.15,25724,3003646
2026-02-17T12:05:00+05:30,25723.75,25732.7,25722.55,25726.1,2897028
2026-02-17T12:10:00+05:30,25725.95,25731.45,25718.8,25721.7,3398691
2026-02-17T12:15:00+05:30,25722.55,25744.35,25721.85,25742.1,5407972
2026-02-17T12:20:00+05:30,25741.95,25751.1,25737.45,25747.4,3853578
2026-02-17T12:25:00+05:30,25747.35,25753.85,25730.45,25733.65,3070388
2026-02-17T12:30:00+05:30,25733.9,25740.1,25728.1,25735.7,2824520
2026-02-17T12:35:00+05:30,25735.5,25737.55,25725.35,25733.75,2167847
2026-02-17T12:40:00+05:30,25732.8,25741.25,25728.55,25738.7,5456378
2026-02-17T12:45:00+05:30,25738.25,25742.15,25736.1,25741,2479999
2026-02-17T12:50:00+05:30,25740.6,25760.85,25737.1,25753.95,2630856
2026-02-17T12:55:00+05:30,25752.55,25755.6,25732.2,25733.8,2770326
2026-02-17T13:00:00+05:30,25733.6,25739.65,25717.05,25717.05,3714702
2026-02-17T13:05:00+05:30,25716.25,25761.6,25713.9,25759.45,6758478
2026-02-17T13:10:00+05:30,25760.05,25764.4,25728.55,25736.35,5435567
2026-02-17T13:15:00+05:30,25736.25,25739.65,25725.75,25736.1,3796624
2026-02-17T13:20:00+05:30,25735.05,25748,25735.05,25740.4,5235104
2026-02-17T13:25:00+05:30,25740.2,25742.1,25735.1,25740.1,2211095
2026-02-17T13:30:00+05:30,25740.95,25759.95,25740.95,25751.8,2761445
2026-02-17T13:35:00+05:30,25752.9,25761.95,25738.05,25742.25,3696189
2026-02-17T13:40:00+05:30,25742.6,25754.1,25740.8,25744.7,2314075
2026-02-17T13:45:00+05:30,25744.8,25749.8,25730.9,25735.15,2493902
2026-02-17T13:50:00+05:30,25735.25,25741.6,25726.7,25731.95,1728799
2026-02-17T13:55:00+05:30,25731.7,25731.7,25696.75,25698.85,3809902
2026-02-17T14:00:00+05:30,25699.45,25732.8,25697.15,25726.1,4828637
2026-02-17T14:05:00+05:30,25728,25734.15,25710.05,25710.5,2645991
2026-02-17T14:10:00+05:30,25710.65,25710.65,25667.8,25670.95,4432115
2026-02-17T14:15:00+05:30,25670.7,25703.9,25662.6,25697.2,4789583
2026-02-17T14:20:00+05:30,25696.85,25705.8,25693.2,25698.2,1984614
2026-02-17T14:25:00+05:30,25698.25,25705.3,25683.05,25683.35,2528405
2026-02-17T14:30:00+05:30,25686.1,25697.1,25675.5,25696.05,2299415
2026-02-17T14:35:00+05:30,25695.7,25726.35,25691.85,25724.25,4270681
2026-02-17T14:40:00+05:30,25723.2,25733.45,25714.75,25717.3,7087604
2026-02-17T14:45:00+05:30,25718.05,25719.85,25704.8,25708.95,3035755
2026-02-17T14:50:00+05:30,25709.85,25718.65,25703.9,25717.15,2832008
2026-02-17T14:55:00+05:30,25717.85,25721,25691.15,25711.9,5697068
2026-02-17T15:00:00+05:30,25713.1,25746.3,25709.75,25709.75,9168457
2026-02-17T15:05:00+05:30,25711.05,25743.75,25703,25741.85,8785965
2026-02-17T15:10:00+05:30,25743.9,25744.35,25713.8,25724.85,6861769
2026-02-17T15:15:00+05:30,25725.45,25729.15,25714.85,25720.35,8411335
2026-02-17T15:20:00+05:30,25720.5,25731.85,25718.05,25724.55,9045127
2026-02-17T15:25:00+05:30,25725,25728.1,25713.8,25716,8290027
2026-02-18T09:15:00+05:30,25759.75,25759.75,25705.4,25742.05,20852536
2026-02-18T09:20:00+05:30,25742,25742,25704.4,25704.5,9045310
2026-02-18T09:25:00+05:30,25703.85,25738.2,25697.75,25728.5,6604703
2026-02-18T09:30:00+05:30,25730.25,25736.45,25711.95,25731.45,42798802
2026-02-18T09:35:00+05:30,25731.8,25745.4,25725.85,25737.15,6703917
2026-02-18T09:40:00+05:30,25738.6,25746.65,25732.45,25741.85,6401640
2026-02-18T09:45:00+05:30,25744.45,25744.45,25714.05,25720.45,13630051
2026-02-18T09:50:00+05:30,25722.1,25724.2,25699.35,25702.35,9877992
2026-02-18T09:55:00+05:30,25701.85,25702,25655.75,25665.45,6266501
2026-02-18T10:00:00+05:30,25666.6,25669.15,25650.25,25666.45,10754410
2026-02-18T10:05:00+05:30,25668.3,25674.85,25652.3,25665.45,5781212
2026-02-18T10:10:00+05:30,25666.8,25674.55,25658.5,25661.95,5770257
2026-02-18T10:15:00+05:30,25663.85,25675,25645.6,25671.35,7052050
2026-02-18T10:20:00+05:30,25672.65,25675.6,25659.85,25670.3,5427327
2026-02-18T10:25:00+05:30,25670.95,25671.05,25645.15,25665.35,4701374
2026-02-18T10:30:00+05:30,25666.2,25675.1,25659.35,25673,4018694
2026-02-18T10:35:00+05:30,25673.35,25684.7,25660.75,25660.75,4728188
2026-02-18T10:40:00+05:30,25662.8,25667.45,25654.7,25660.75,3398271
2026-02-18T10:45:00+05:30,25661.9,25683.6,25658.85,25681.85,3570172
2026-02-18T10:50:00+05:30,25681.55,25696.8,25678.6,25691.65,4243540
2026-02-18T10:55:00+05:30,25692.2,25708,25688.05,25703.2,4219373
2026-02-18T11:00:00+05:30,25706,25709,25698.65,25706.15,4047438
2026-02-18T11:05:00+05:30,25706,25706.65,25697.2,25703.85,4075177
2026-02-18T11:10:00+05:30,25703.95,25705.85,25689.3,25700.05,4970687
2026-02-18T11:15:00+05:30,25700.7,25701.8,25683.5,25686.55,4488239
2026-02-18T11:20:00+05:30,25688.45,25697.7,25685.8,25688,5100376
2026-02-18T11:25:00+05:30,25687.7,25697.55,25679.95,25693.55,3896968
2026-02-18T11:30:00+05:30,25694.9,25716.55,25687.6,25713.65,3938137
2026-02-18T11:35:00+05:30,25711.6,25716.4,25695.65,25698.9,3547279
2026-02-18T11:40:00+05:30,25698.45,25701.35,25676.55,25686.9,2601424
2026-02-18T11:45:00+05:30,25687.5,25690.55,25682.65,25688.65,2811084
2026-02-18T11:50:00+05:30,25688.2,25695.7,25687.4,25695.55,3544640
2026-02-18T11:55:00+05:30,25695.5,25701.9,25689.95,25701.05,4027481
2026-02-18T12:00:00+05:30,25702.4,25711.6,25697.15,25704.5,5994469
2026-02-18T12:05:00+05:30,25705.45,25718.4,25704.3,25713.25,2980309
2026-02-18T12:10:00+05:30,25712.45,25717.4,25708.7,25709.85,2518938
2026-02-18T12:15:00+05:30,25710.5,25721.55,25710.5,25713.1,3995198
2026-02-18T12:20:00+05:30,25714.1,25723,25711.95,25720.3,3542540
2026-02-18T12:25:00+05:30,25720.4,25722.95,25703.65,25711.75,3055790
2026-02-18T12:30:00+05:30,25713.9,25726.2,25709.9,25722.7,2350632
2026-02-18T12:35:00+05:30,25722.45,25734.4,25722.45,25732.25,2850034
2026-02-18T12:40:00+05:30,25732,25732.35,25718.05,25726.35,2431145
2026-02-18T12:45:00+05:30,25725.1,25729.55,25713.7,25713.95,6174503
2026-02-18T12:50:00+05:30,25715.2,25728.5,25711.9,25726.8,3009762
2026-02-18T12:55:00+05:30,25726.55,25733.9,25719.55,25731.85,2618157
2026-02-18T13:00:00+05:30,25732.2,25742.05,25722.15,25737,2506615
2026-02-18T13:05:00+05:30,25736.7,25742.05,25730.7,25731.75,2326088
2026-02-18T13:10:00+05:30,25732.95,25733.5,25718.4,25731.5,2446776
2026-02-18T13:15:00+05:30,25730.95,25745.6,25730.95,25740.85,2736091
2026-02-18T13:20:00+05:30,25741.95,25753.2,25739.55,25744.85,3194901
2026-02-18T13:25:00+05:30,25745.15,25746.85,25717.8,25728.05,3358866
2026-02-18T13:30:00+05:30,25727.25,25730.5,25722.95,25727.55,1877466
2026-02-18T13:35:00+05:30,25726.2,25730.95,25719.85,25721.35,2399669
2026-02-18T13:40:00+05:30,25721.45,25729.45,25718.1,25724.7,2415519
2026-02-18T13:45:00+05:30,25724.6,25739.2,25723.3,25735.5,4420273
2026-02-18T13:50:00+05:30,25735.15,25746.15,25699.15,25700,4019267
2026-02-18T13:55:00+05:30,25699.2,25726.55,25695.75,25724.3,3303282
2026-02-18T14:00:00+05:30,25724.45,25728.2,25719.95,25725.45,2447250
2026-02-18T14:05:00+05:30,25726.55,25735.45,25725.25,25735.45,2265496
2026-02-18T14:10:00+05:30,25735.05,25757.35,25733.05,25756.8,3181779
2026-02-18T14:15:00+05:30,25756.95,25771.95,25750.6,25771.6,3027203
2026-02-18T14:20:00+05:30,25771.65,25791.55,25770.7,25790.55,4219082
2026-02-18T14:25:00+05:30,25789.9,25792.85,25778.95,25785.2,3609623
2026-02-18T14:30:00+05:30,25784.2,25789.9,25774.7,25779.1,2992218
2026-02-18T14:35:00+05:30,25778.8,25793.8,25778.25,25781,3055734
2026-02-18T14:40:00+05:30,25780.6,25784.55,25774.3,25779.8,3486707
2026-02-18T14:45:00+05:30,25779.65,25781.95,25768.45,25781.45,3433555
2026-02-18T14:50:00+05:30,25781.85,25790.55,25778.3,25787.45,3856464
2026-02-18T14:55:00+05:30,25786.95,25796.75,25786.95,25792.15,3166788
2026-02-18T15:00:00+05:30,25794.75,25828.05,25794.75,25814.55,8115598
2026-02-18T15:05:00+05:30,25813.65,25825.7,25807.95,25825.7,6270663
2026-02-18T15:10:00+05:30,25823.9,25827.15,25818.5,25821.95,7893891
2026-02-18T15:15:00+05:30,25820.05,25827.45,25817.1,25818.3,9044312
2026-02-18T15:20:00+05:30,25816.85,25822.4,25814.1,25817.3,9790624
2026-02-18T15:25:00+05:30,25815.45,25818.95,25805.05,25805.7,8732405
2026-02-19T09:15:00+05:30,25865.2,25885.3,25836.6,25853.9,17247053
2026-02-19T09:20:00+05:30,25853.65,25877.35,25849.8,25850.2,8050053
2026-02-19T09:25:00+05:30,25850.25,25851.9,25811.2,25817.65,5527983
2026-02-19T09:30:00+05:30,25817.75,25821.15,25803.25,25804.3,4615109
2026-02-19T09:35:00+05:30,25805.05,25821.2,25779.8,25790.65,7076636
2026-02-19T09:40:00+05:30,25790.75,25792.05,25776.55,25779.9,4268134
2026-02-19T09:45:00+05:30,25780.95,25812.95,25773.4,25809.25,3683199
2026-02-19T09:50:00+05:30,25808.3,25810.55,25782.65,25782.65,3360451
2026-02-19T09:55:00+05:30,25783.6,25789.1,25769.65,25772.85,3552394
2026-02-19T10:00:00+05:30,25772.55,25786.55,25763,25786.55,2744534
2026-02-19T10:05:00+05:30,25785.85,25793.9,25776.05,25779.6,3193370
2026-02-19T10:10:00+05:30,25778.65,25783.3,25749.45,25756.45,2466760
2026-02-19T10:15:00+05:30,25757.75,25765.85,25746.9,25756.85,2659186
2026-02-19T10:20:00+05:30,25757.3,25761.75,25741.9,25754.05,2704523
2026-02-19T10:25:00+05:30,25752.8,25754.95,25732.35,25746.7,2420060
2026-02-19T10:30:00+05:30,25746.75,25752.4,25736.8,25739.5,2050972
2026-02-19T10:35:00+05:30,25739.95,25743.2,25713.3,25716.4,5202453
2026-02-19T10:40:00+05:30,25716.6,25739.5,25708.7,25735.05,3839103
2026-02-19T10:45:00+05:30,25735.2,25736.75,25718.05,25723.15,3055712
2026-02-19T10:50:00+05:30,25722.95,25737,25718.25,25733.65,2623189
2026-02-19T10:55:00+05:30,25732.75,25740.5,25719.95,25734.85,4191811
2026-02-19T11:00:00+05:30,25734.75,25746,25726.15,25734.9,2994225
2026-02-19T11:05:00+05:30,25734.8,25745.05,25726.25,25726.95,1922807
2026-02-19T11:10:00+05:30,25727.3,25736.85,25713.85,25715.8,3101351
2026-02-19T11:15:00+05:30,25715.3,25720.7,25703.65,25705.65,2170948
2026-02-19T11:20:00+05:30,25705.15,25709.75,25679.75,25683.25,2496526
2026-02-19T11:25:00+05:30,25682.4,25692.45,25681.15,25688.65,2012314
2026-02-19T11:30:00+05:30,25687.7,25693.1,25683.45,25686.95,1623596
2026-02-19T11:35:00+05:30,25686.45,25688.95,25671.45,25684.6,1871675
2026-02-19T11:40:00+05:30,25683.65,25685.65,25667.65,25678.9,1898252
2026-02-19T11:45:00+05:30,25679.35,25680.05,25658.25,25664.45,1723105
2026-02-19T11:50:00+05:30,25664.5,25664.65,25652.45,25658.65,2144155
2026-02-19T11:55:00+05:30,25657.2,25663.95,25650.55,25658.7,2525725
2026-02-19T12:00:00+05:30,25658.65,25661.6,25641.7,25652.1,2636131
2026-02-19T12:05:00+05:30,25652.95,25655.85,25636.85,25637.75,2467863
2026-02-19T12:10:00+05:30,25636.05,25636.55,25601,25603.5,3845974
2026-02-19T12:15:00+05:30,25602.85,25615.7,25586.75,25611.4,4499248
2026-02-19T12:20:00+05:30,25611.8,25639.7,25607.55,25633.35,3037368
2026-02-19T12:25:00+05:30,25631.9,25634.9,25614.05,25626,2756531
2026-02-19T12:30:00+05:30,25625.4,25630.7,25608.6,25614,1584065
2026-02-19T12:35:00+05:30,25613.75,25621.4,25591.85,25593.8,2970565
2026-02-19T12:40:00+05:30,25594.2,25602.55,25569.35,25582.55,2848657
2026-02-19T12:45:00+05:30,25580.7,25585.55,25567.75,25584.05,2269743
2026-02-19T12:50:00+05:30,25584.45,25613.4,25580.05,25592.2,2869441
2026-02-19T12:55:00+05:30,25593.35,25602.4,25590,25597.5,1940091
2026-02-19T13:00:00+05:30,25598.4,25599.95,25586.25,25598.45,1912845
2026-02-19T13:05:00+05:30,25597.75,25629.8,25597.5,25628,3936266
2026-02-19T13:10:00+05:30,25628.75,25631.4,25618.5,25624.55,5722114
2026-02-19T13:15:00+05:30,25623.85,25624.55,25598.5,25607,2614658
2026-02-19T13:20:00+05:30,25606.75,25634.3,25604.55,25630.75,3960720
2026-02-19T13:25:00+05:30,25630.6,25636.25,25604.7,25619.7,3295324
2026-02-19T13:30:00+05:30,25617.95,25620.55,25575.85,25591.3,4604311
2026-02-19T13:35:00+05:30,25591.05,25606.8,25578.65,25600.95,3510320
2026-02-19T13:40:00+05:30,25600.55,25608.9,25594.5,25600.55,2690223
2026-02-19T13:45:00+05:30,25600.5,25605.7,25584,25587.3,7392456
2026-02-19T13:50:00+05:30,25587.6,25591.25,25564.55,25579.95,3357975
2026-02-19T13:55:00+05:30,25581.9,25582.7,25561.7,25562.45,2346734
2026-02-19T14:00:00+05:30,25561.65,25569.2,25549.35,25552.5,4808326
